0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.441,1.226,1.327,1.278,1.042,1.03,1.0,1.033,1.028,1.095,1.091,1.009,1.112,1.07,1.0,1.023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.625,1.478,1.454,1.509,1.416,1.413,1.347,1.215,1.262,1.351,1.179,1.315,1.316,1.089,1.188,1.092,1.069,1.026,1.017,1.058,1.0,1.049,1.004,1.002,1.14,1.077,1.0,1.073,1.132,1.035,1.0,1.022,1.009,1.0,1.0,1.001,1.155,1.128,1.0,1.054,1.081,1.005,1.0,1.055,1.006,1.0,1.0,1.0,1.007,1.0,1.0,1.0,1.113,1.071,1.0,1.006,1.061,1.087,1.078,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.767,1.57,1.597,1.813,1.777,1.716,1.656,1.71,1.648,1.675,1.558,1.461,1.465,1.378,1.415,1.469,1.307,1.355,1.361,1.48,1.484,1.369,1.211,1.358,1.394,1.243,1.274,1.356,1.234,1.133,1.135,1.328,1.307,1.177,1.207,1.186,1.125,1.134,1.239,1.166,1.163,1.272,1.213,1.107,1.139,1.139,1.026,1.08,1.061,1.072,1.073,1.133,1.132,1.094,1.068,1.105,1.114,1.091,1.008,1.038,1.013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.86,1.724,1.684,1.679,1.532,1.535,1.411,1.441,1.448,1.467,1.663,1.551,1.578,1.565,1.528,1.355,1.476,1.525,1.389,1.411,1.471,1.363,1.368,1.347,1.38,1.423,1.387,1.383,1.413,1.408,1.297,1.272,1.321,1.243,1.188,1.189,1.234,1.194,1.216,1.358,1.402,1.22,1.197,1.207,1.064,1.034,1.038,1.136,1.12,1.132,1.216,1.213,1.071,1.112,1.113,1.148,1.19,1.14,1.107,1.099,1.069,1.174,1.078,1.039,1.0,1.0,1.0,1.053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.044,1.008,1.0,1.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.913,1.69,1.882,1.822,1.924,2.031,1.847,1.682,1.843,1.845,1.757,1.789,1.824,1.653,1.622,1.611,1.449,1.52,1.645,1.553,1.46,1.535,1.519,1.526,1.644,1.715,1.685,1.724,1.648,1.615,1.512,1.491,1.519,1.513,1.406,1.354,1.27,1.358,1.452,1.495,1.511,1.44,1.367,1.451,1.502,1.419,1.367,1.325,1.295,1.333,1.41,1.396,1.343,1.296,1.359,1.301,1.381,1.352,1.597,1.678,1.646,1.478,1.357,1.343,1.233,1.247,1.15,1.196,1.187,1.154,1.141,1.114,1.153,1.234,1.27,1.165,1.141,1.19,1.231,1.23,1.216,1.126,1.068,1.033,1.086,1.026,1.017,1.123,1.024,1.058,1.145,1.077,1.0,1.055,1.09,1.01,1.0,1.028,1.007,1.004
1.773,1.997,2.367,2.274,1.733,2.342,2.355,1.717,2.235,2.371,1.963,2.179,2.433,2.256,1.64,2.19,2.128,1.565,2.247,2.29,1.776,1.853,2.026,1.746,1.824,2.14,1.997,1.528,1.625,1.655,1.453,2.025,2.102,1.569,1.765,1.862,1.428,1.688,1.701,1.5,1.89,1.744,1.887,1.906,1.487,1.629,1.462,1.633,1.584,1.726,1.683,1.747,1.497,1.528,1.808,1.62,1.593,1.624,1.457,1.438,1.636,1.629,1.522,1.322,1.386,1.486,1.562,1.596,1.488,1.335,1.254,1.22,1.114,1.122,1.185,1.258,1.22,1.158,1.185,1.133,1.139,1.107,1.08,1.023,1.024,1.038,1.05,1.019,1.048,1.0,1.0,1.0,1.0,1.023,1.079,1.0,1.0,1.0,1.0,1.0
1.834,2.141,2.556,2.48,1.899,2.603,2.641,2.093,2.503,2.674,2.316,2.433,2.745,2.615,1.807,2.418,2.406,1.695,2.34,2.459,2.073,1.939,2.212,2.049,1.722,2.298,2.267,1.817,2.08,2.169,1.842,1.993,2.24,2.025,1.828,2.086,1.866,1.918,2.087,1.681,1.997,1.983,1.921,2.055,1.724,1.933,1.699,1.883,1.723,2.006,1.832,1.855,1.723,1.776,1.88,1.876,1.974,1.857,1.856,1.897,1.923,1.767,1.644,1.656,1.656,1.766,1.683,1.642,1.59,1.579,1.551,1.419,1.451,1.488,1.429,1.33,1.333,1.44,1.418,1.281,1.328,1.324,1.346,1.262,1.354,1.35,1.274,1.252,1.247,1.212,1.203,1.271,1.214,1.176,1.216,1.272,1.213,1.173,1.16,1.138
