0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
3.541,1.966,2.009,1.557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,1.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.076,1.0,1.008,1.115,1.368,1.0,1.0,1.001,1.0,1.0,1.08,1.043,1.0,1.293,1.313,1.0,1.194,1.113,1.251,1.243,1.109,1.0,1.017,1.0,1.0,1.148,1.173,1.149,1.142,1.253,1.111,1.279,1.03,1.187,1.185,1.0,1.0,1.062,1.277,1.021,1.208,1.11,1.0,1.031,1.131,1.205,1.031,1.0,1.212,1.0,1.127,1.0,1.0
4.389,3.194,3.514,3.239,2.527,2.635,2.579,1.816,2.028,2.228,2.183,1.96,2.276,2.621,1.965,1.498,1.801,2.362,2.705,2.523,2.555,2.451,2.166,2.272,2.166,1.907,1.851,2.349,2.459,2.238,2.347,2.193,1.977,1.95,2.124,2.402,2.11,2.332,2.369,2.388,2.335,2.223,2.186,1.957,2.242,2.196,1.797,2.226,2.424,2.503,2.492,2.206,2.495,2.289,2.423,2.619,2.815,3.094,2.918,2.826,2.616,2.725,2.332,2.358,2.28,2.353,2.264,2.325,2.185,2.199,2.22,2.301,2.21,2.407,2.553,2.567,2.194,2.373,2.238,2.457,2.482,2.324,2.293,2.407,2.27,2.419,2.436,2.55,2.499,2.419,2.419,2.534,2.564,2.594,2.5,2.456,2.417,2.427,2.422,2.442
5.305,3.319,3.282,2.827,2.263,2.796,2.873,2.602,2.987,2.9,3.102,3.304,2.56,3.215,3.109,3.062,3.327,3.391,2.597,2.599,3.128,3.413,3.295,3.353,3.323,3.407,3.331,3.376,3.343,2.763,2.913,2.95,3.043,3.018,3.275,3.358,3.316,2.942,3.181,3.445,3.034,3.156,3.501,3.567,3.305,3.141,3.265,3.26,3.064,3.374,3.305,3.428,3.528,3.3,3.168,3.233,3.617,3.693,3.661,3.287,3.34,3.536,2.939,3.245,3.157,3.304,3.172,3.287,3.174,3.133,3.17,3.123,3.158,3.282,2.92,3.173,3.209,3.032,2.895,3.079,3.244,3.121,3.058,3.026,3.037,3.012,3.134,3.12,2.959,3.114,3.192,3.293,3.176,3.216,3.184,3.301,3.125,2.958,3.02,2.981
5.141,4.066,4.007,3.145,2.941,3.176,2.821,2.53,2.443,2.827,3.092,3.207,2.898,2.859,2.881,2.187,2.684,2.869,2.655,2.932,2.739,3.075,2.93,3.137,2.857,2.657,2.802,2.313,2.222,2.579,2.474,2.695,2.475,2.277,3.022,2.637,2.088,2.784,2.838,2.319,2.729,2.677,2.919,2.727,3.002,2.827,3.035,3.07,2.988,2.884,2.935,2.913,3.175,3.106,2.892,2.961,3.133,3.099,3.231,3.11,3.17,3.222,3.024,2.831,3.213,3.183,3.146,3.019,3.032,3.169,3.084,3.164,2.774,3.016,3.236,3.002,3.092,2.951,3.085,3.112,3.196,3.057,3.198,3.319,3.378,3.235,3.173,3.152,3.229,3.209,3.103,3.215,3.286,3.266,3.323,3.084,3.088,3.183,3.099,3.199
5.007,4.097,3.744,2.843,2.507,2.674,2.371,2.239,2.648,2.653,2.793,4.298,6.372,6.594,4.463,3.221,3.022,2.9,2.838,3.237,3.136,2.822,3.098,3.546,3.726,6.011,7.312,7.089,4.627,3.549,3.176,3.031,3.063,2.832,2.762,2.741,2.905,3.94,6.457,7.235,6.33,3.361,3.16,2.933,3.36,3.152,3.208,4.406,5.504,4.9,3.154,3.258,2.947,2.646,3.904,6.118,6.029,3.569,3.268,3.415,3.375,4.322,4.115,3.319,2.834,3.119,3.541,3.426,3.099,3.198,3.682,3.973,3.064,3.17,3.122,3.335,3.209,3.73,4.155,3.165,3.259,3.765,3.431,3.469,3.392,3.343,3.583,3.433,3.388,3.462,2.983,3.174,3.199,3.29,3.218,3.172,3.292,3.174,3.132,3.274
4.485,3.517,3.832,3.242,2.635,2.511,2.611,2.369,2.7,2.463,2.486,2.941,4.919,6.618,7.406,6.37,3.42,2.715,2.959,3.097,2.956,3.194,3.35,2.919,3.249,4.19,4.558,5.107,6.529,7.631,6.793,4.237,4.026,3.185,3.171,3.163,2.649,2.929,4.12,3.823,3.738,5.165,6.31,5.368,3.173,2.948,3.116,3.158,2.78,3.224,3.62,5.711,5.408,3.255,2.866,3.386,3.865,3.93,5.395,5.415,3.149,3.325,3.167,2.973,3.624,3.322,3.205,3.142,3.095,3.21,2.949,3.113,3.166,3.266,3.448,3.079,3.103,3.523,3.492,3.151,3.211,3.069,3.12,3.23,3.033,3.052,3.136,3.285,3.225,3.343,3.326,3.128,3.299,3.401,3.371,3.416,3.467,3.369,3.346,3.405
5.442,3.902,4.001,3.201,3.084,2.812,3.078,2.69,2.841,2.893,3.263,4.13,4.897,6.602,6.774,5.235,3.023,3.17,3.064,3.332,2.944,2.953,3.249,3.624,4.149,4.758,4.983,6.01,7.204,6.918,4.679,3.256,2.787,2.695,2.768,2.794,3.297,3.747,4.107,3.893,4.842,6.056,5.66,3.602,3.243,2.832,3.01,3.149,3.477,3.387,5.012,5.098,3.217,3.382,3.517,3.432,3.874,5.077,5.174,3.726,3.192,3.276,3.365,3.666,3.788,3.154,3.247,3.319,3.535,3.304,3.14,2.978,3.355,3.295,3.151,2.945,3.498,3.594,3.253,3.402,3.531,3.241,3.211,3.187,3.194,3.07,3.182,3.305,3.481,3.242,3.139,3.15,3.382,3.247,3.046,3.09,3.273,3.112,3.302,3.354
5.434,3.68,4.026,3.316,2.618,4.148,4.197,2.372,5.02,5.375,4.706,5.659,6.885,6.417,5.24,4.885,4.631,3.991,6.085,6.231,4.324,4.207,5.123,4.356,4.673,6.548,6.276,4.593,4.166,4.174,3.702,4.168,4.638,3.674,3.631,4.099,3.096,5.434,6.425,5.343,3.651,3.182,4.22,4.617,3.207,3.57,5.818,6.072,4.432,3.824,3.791,3.531,3.43,3.274,4.931,4.655,3.301,3.98,3.833,3.306,4.209,3.826,3.223,3.122,3.375,3.363,2.998,3.058,2.948,2.912,2.684,2.855,2.953,3.397,3.265,3.089,3.335,3.526,3.035,3.079,2.918,2.959,3.254,3.307,3.186,3.178,3.289,3.27,3.092,3.247,3.083,3.125,3.176,3.276,3.274,3.051,3.239,3.283,3.229,3.234
4.777,3.342,3.523,3.059,2.38,3.013,3.876,4.243,4.18,4.79,4.955,5.189,5.327,5.144,5.56,5.843,4.369,3.809,4.889,4.718,3.994,4.374,5.874,5.74,3.912,5.745,5.605,4.257,4.173,5.612,6.154,5.847,4.657,4.019,3.546,3.843,3.227,3.628,3.965,3.481,3.147,3.222,2.952,3.582,3.361,3.174,3.547,3.978,3.163,3.335,3.053,3.164,3.394,3.2,3.313,3.053,3.384,3.881,3.715,3.285,3.264,3.593,3.926,3.647,3.385,2.88,2.895,3.19,2.905,3.09,3.164,3.034,3.131,2.966,2.875,3.131,3.216,2.957,2.92,2.996,2.972,2.811,2.946,3.224,3.274,3.204,3.199,3.238,3.146,3.109,3.246,3.226,3.234,3.223,3.217,3.246,3.265,3.199,3.245,3.193
5.499,3.882,3.876,3.488,3.879,2.809,3.081,3.134,4.57,4.998,3.981,4.041,3.48,5.151,5.539,4.411,3.543,3.715,5.744,6.031,4.447,3.843,4.69,5.556,5.611,4.068,4.4,4.171,4.843,5.46,6.069,5.108,3.356,3.714,3.304,3.304,3.986,6.131,5.835,4.048,3.189,3.145,3.039,3.3,3.095,3.071,3.342,2.9,3.438,2.808,3.359,3.283,3.127,3.365,3.33,3.189,3.187,3.39,3.501,2.741,3.026,3.187,3.851,3.302,3.322,3.11,3.0,2.994,3.138,3.179,3.055,2.967,3.022,2.78,2.959,3.109,3.236,2.976,2.998,3.075,3.06,3.423,3.223,2.869,3.163,3.083,3.176,3.094,3.027,3.096,3.244,3.341,3.27,3.254,3.262,3.062,3.245,3.238,3.165,3.214
