century,country,war,proba,air,land,sea,scale1,scale2,scale3,scale4,scale5,scale6,sides
-6,China,War of China's Spring and Autumn Era,0.2174,0,1,0,0.8,0.1,0.1,0,0,0,"{Northern Alliance: [0.1, 1, 0, 0, 0, 0], Chen: [0.1, 0, 1, 0, 0, 0], Qin: [0.2, 0.5, 0.5, 0, 0, 0], Zheng Zuang Gong: [0.1, 0, 1, 0, 0, 0], Wu: [0.1, 1, 0, 0, 0, 0], Song: [0.1, 0, 1, 0, 0, 0], Wei: [0.2, 0.5, 0.5, 0, 0, 0], Eastern Zhou: [0.1, 1, 0, 0, 0, 0], Cai: [0.2, 0.5, 0.5, 0, 0, 0], Che: [0.2, 0, 1, 0, 0, 0], Chi: [0.1, 0, 1, 0, 0, 0], Xu: [0.1, 0, 1, 0, 0, 0], Zheng: [0.3, 0.33, 0.67, 0, 0, 0], Tang: [0.1, 1, 0, 0, 0, 0], Chu: [0.5, 0.4, 0.6, 0, 0, 0], Lu: [0.1, 1, 0, 0, 0, 0], Deng: [0.1, 0, 1, 0, 0, 0], Biyang: [0.1, 0, 1, 0, 0, 0], Jin: [0.7, 0.71, 0.29, 0, 0, 0]}"
-6,China,War of the Western Zhou,0.0435,0,1,0,1,0,0,0,0,0,"{Quan Rong: [0.5, 1, 0, 0, 1, 0], Shang: [0.5, 0, 1, 0, 0, 0], Western Zhou: [1, 0.5, 0.5, 0, 0, 1]}"
-6,Egypt,Persian Invasion of Egypt,0.0217,0,1,0,0,1,0,0,0,0,"{Egypt: [1, 0, 1, 0, 0, 0], Persia: [1, 1, 0, 0, 0, 0]}"
-6,France,Carthaginian-Greek War,0.0217,0,0,1,0,0,1,0,0,0,"{Etruria: [1, 1, 0, 0, 0, 0], Carthage: [1, 1, 0, 0, 0, 0], Phocian Greek Alalia: [1, 0, 1, 0, 0, 0]}"
-6,Greece,Persian-Lydian War,0.0217,0,1,0,1,0,0,0,0,0,"{Lydia: [1, 0, 1, 0, 0, 0], Persia: [1, 1, 0, 0, 0, 0]}"
-6,Greece,Rise of Argos,0.0217,0,1,0,1,0,0,0,0,0,"{Argos: [1, 1, 0, 0, 0, 0], Sparta: [1, 0, 1, 0, 0, 0]}"
-6,Greece,Sacred War,0.0217,0,1,0,1,0,0,0,0,0,"{Athens: [1, 1, 0, 0, 0, 0], Thessaly: [1, 1, 0, 0, 0, 0], Delphi: [1, 1, 0, 0, 0, 0], Sicyon: [1, 1, 0, 0, 0, 0], Crisa: [1, 0, 1, 0, 0, 0]}"
-6,Greece,Spartan-Argive War,0.0217,0,1,0,1,0,0,0,0,0,"{Argives: [1, 0, 1, 0, 0, 0], Sparta: [1, 1, 0, 0, 0, 0]}"
-6,Iraq,Assyrian War,0.0435,0,1,0,1,0,0,0,0,0,"{Scythians: [0.5, 0, 1, 0, 0, 0], Assyria: [1, 0.5, 0.5, 0, 0, 0], Media: [0.5, 1, 0, 0, 0, 0], Babylon: [0.5, 0, 1, 0, 0, 0]}"
-6,Iraq,Babylon's War of Conquest,0.0217,0,1,0,1,0,0,0,0,0,"{Scythians: [1, 1, 0, 0, 1, 0], Assyria: [1, 0, 1, 0, 0, 1], Media: [1, 1, 0, 0, 1, 0], Chaldeans: [1, 1, 0, 0, 1, 0]}"
-6,Iraq,Persian-Babylonian War,0.0217,0,1,0,1,0,0,0,0,0,"{Persia: [1, 1, 0, 0, 0, 0], Babylon: [1, 0, 1, 0, 0, 0]}"
-6,Israel,Assyrian War,0.0652,0,1,0,1,0,0,0,0,0,"{Egypt: [0.67, 0.5, 0.5, 0, 0, 0], Assyria: [1, 0.67, 0.33, 0, 0, 0], Israel: [0.33, 0, 1, 0, 0, 0], Judea: [0.33, 0, 1, 0, 0, 0], Egyptian Allies: [0.33, 0, 1, 0, 0, 0]}"
-6,Israel,Babylon's War of Conquest,0.0435,0,1,0,1,0,0,0,0,0,"{Judea: [1, 0, 1, 0, 0, 0.5], Babylon: [1, 1, 0, 0, 0.5, 0]}"
-6,Israel,Egyptian Conquest of Judah,0.0217,0,1,0,1,0,0,0,0,0,"{Egypt: [1, 1, 0, 0, 0, 0], Judea: [1, 0, 1, 0, 0, 0]}"
-6,Israel,Egyptian-Syrian War,0.0217,0,1,0,0,1,0,0,0,0,"{Egypt: [1, 1, 0, 0, 0, 0], Syria: [1, 0, 1, 0, 0, 0], Palestine: [1, 0, 1, 0, 0, 0]}"
-6,Israel,Philistine-Israeli War,0.0652,0,1,0,1,0,0,0,0,0,"{Philistines: [1, 0.67, 0.33, 0, 0, 0], Judea: [0.67, 0.5, 0.5, 0, 0, 0], Israel: [0.33, 0, 1, 0, 0, 0]}"
-6,Italy,Roman-Etruscan War,0.0217,0,1,0,1,0,0,0,0,0,"{Rome: [1, 0, 1, 0, 0, 0], Clusium: [1, 1, 0, 0, 0, 0]}"
-6,Sudan,Egyptian-Nubian War,0.0217,0,1,0,1,0,0,0,0,0,"{Egypt: [1, 1, 0, 0, 1, 0], Nubia: [1, 0, 1, 0, 0, 1]}"
-6,Syria,Assyrian War,0.0652,0,1,0,0.67,0,0.33,0,0,0,"{Amon: [0.33, 0, 1, 0, 0, 0], Assyria: [1, 1, 0, 0, 0, 0], Israel: [0.67, 0, 1, 0, 0, 0], Damascus: [0.67, 0, 1, 0, 0, 0], Babylon: [0.33, 0, 1, 0, 0, 0], Aram-Damascus: [0.33, 0, 1, 0, 0, 0], Shianu: [0.33, 0, 1, 0, 0, 0], Arabia: [0.33, 0, 1, 0, 0, 0], Elam: [0.33, 0, 1, 0, 0, 0], Arwad: [0.33, 0, 1, 0, 0, 0], Irqanata: [0.33, 0, 1, 0, 0, 0], Que: [0.33, 0, 1, 0, 0, 0], Hamath: [0.67, 0, 1, 0, 0, 0]}"
-6,Syria,Babylon's War of Conquest,0.0217,0,1,0,1,0,0,0,0,0,"{Egypt: [1, 0, 1, 0, 0, 0], Assyria: [1, 0, 1, 0, 0, 0], Babylon: [1, 1, 0, 0, 0, 0]}"
