region,sub-region,country,disease,outbreaks
Asia,Southern Asia,Afghanistan,Influenza,1
Asia,Southern Asia,Afghanistan,Acute Polio,1
Asia,Southern Asia,Afghanistan,COVID-19,3
Asia,Southern Asia,Afghanistan,Cholera,5
Asia,Southern Asia,Afghanistan,Dengue,1
Asia,Southern Asia,Afghanistan,Diphtheria,1
Asia,Southern Asia,Afghanistan,Infection,1
Asia,Southern Asia,Afghanistan,Infectious Gastroenteritis or Colitis,1
Asia,Southern Asia,Afghanistan,Leishmaniasis,1
Asia,Southern Asia,Afghanistan,Measles,1
Asia,Southern Asia,Afghanistan,SARS,1
Asia,Southern Asia,Afghanistan,Unspecified Viral Haemorrhagic Fever,2
Asia,Southern Asia,Afghanistan,Whooping Cough Pertussis,1
Europe,Southern Europe,Albania,Influenza,1
Europe,Southern Europe,Albania,Acute Polio,1
Europe,Southern Europe,Albania,COVID-19,3
Europe,Southern Europe,Albania,West Nile Virus,1
Africa,Northern Africa,Algeria,Influenza,2
Africa,Northern Africa,Algeria,COVID-19,3
Africa,Northern Africa,Algeria,Cholera,1
Africa,Northern Africa,Algeria,MERS,1
Africa,Northern Africa,Algeria,Plague,1
Africa,Northern Africa,Algeria,Typhoid Fever,1
Oceania,Polynesia,American Samoa,Influenza,1
Oceania,Polynesia,American Samoa,COVID-19,2
Oceania,Polynesia,American Samoa,Measles,1
Europe,Southern Europe,Andorra,Influenza,1
Europe,Southern Europe,Andorra,COVID-19,3
Africa,Sub-Saharan Africa,Angola,Influenza,2
Africa,Sub-Saharan Africa,Angola,Acute Polio,5
Africa,Sub-Saharan Africa,Angola,COVID-19,3
Africa,Sub-Saharan Africa,Angola,Cholera,1
Africa,Sub-Saharan Africa,Angola,Infection,2
Africa,Sub-Saharan Africa,Angola,Meningococcal Meningitis,2
Africa,Sub-Saharan Africa,Angola,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Angola,Viral Meningitis,2
Africa,Sub-Saharan Africa,Angola,Yellow Fever,1
Americas,Latin America and the Caribbean,Anguilla,COVID-19,3
Americas,Latin America and the Caribbean,Antigua and Barbuda,Influenza,1
Americas,Latin America and the Caribbean,Antigua and Barbuda,COVID-19,3
Americas,Latin America and the Caribbean,Argentina,Influenza,2
Americas,Latin America and the Caribbean,Argentina,COVID-19,3
Americas,Latin America and the Caribbean,Argentina,Chikungunya Virus,1
Americas,Latin America and the Caribbean,Argentina,Cholera,1
Americas,Latin America and the Caribbean,Argentina,Hantavirus Pulmonary Syndrome,1
Asia,Western Asia,Armenia,Influenza,1
Asia,Western Asia,Armenia,COVID-19,3
Asia,Western Asia,Armenia,Cholera,1
Americas,Latin America and the Caribbean,Aruba,Influenza,1
Americas,Latin America and the Caribbean,Aruba,COVID-19,3
Oceania,Australia and New Zealand,Australia,Influenza,2
Oceania,Australia and New Zealand,Australia,COVID-19,3
Oceania,Australia and New Zealand,Australia,Legionnaires' Disease,1
Oceania,Australia and New Zealand,Australia,Listeriosis,1
Oceania,Australia and New Zealand,Australia,Measles,1
Oceania,Australia and New Zealand,Australia,SARS,1
Europe,Western Europe,Austria,Influenza,4
Europe,Western Europe,Austria,Acute Hepatitis A,1
Europe,Western Europe,Austria,COVID-19,3
Europe,Western Europe,Austria,Escherichia Coli,1
Europe,Western Europe,Austria,MERS,2
Asia,Western Asia,Azerbaijan,Influenza,2
Asia,Western Asia,Azerbaijan,COVID-19,3
Americas,Latin America and the Caribbean,Bahamas,Influenza,1
Americas,Latin America and the Caribbean,Bahamas,COVID-19,3
Asia,Western Asia,Bahrain,Influenza,1
Asia,Western Asia,Bahrain,COVID-19,3
Asia,Western Asia,Bahrain,MERS,1
Asia,Southern Asia,Bangladesh,Influenza,5
Asia,Southern Asia,Bangladesh,Acute Polio,1
Asia,Southern Asia,Bangladesh,COVID-19,3
Asia,Southern Asia,Bangladesh,Diphtheria,1
Asia,Southern Asia,Bangladesh,Infectious Gastroenteritis or Colitis,1
Asia,Southern Asia,Bangladesh,Measles,1
Asia,Southern Asia,Bangladesh,Unspecified Virus,3
Americas,Latin America and the Caribbean,Barbados,Influenza,1
Americas,Latin America and the Caribbean,Barbados,COVID-19,3
Americas,Latin America and the Caribbean,Barbados,Zika Virus,1
Europe,Eastern Europe,Belarus,COVID-19,3
Europe,Western Europe,Belgium,Influenza,2
Europe,Western Europe,Belgium,Acute Hepatitis A,1
Europe,Western Europe,Belgium,COVID-19,3
Europe,Western Europe,Belgium,Legionnaires' Disease,1
Europe,Western Europe,Belgium,SARS,1
Europe,Western Europe,Belgium,Yellow Fever,1
Americas,Latin America and the Caribbean,Belize,Influenza,1
Americas,Latin America and the Caribbean,Belize,COVID-19,3
Americas,Latin America and the Caribbean,Belize,Cholera,1
Africa,Sub-Saharan Africa,Benin,Acute Polio,3
Africa,Sub-Saharan Africa,Benin,COVID-19,3
Africa,Sub-Saharan Africa,Benin,Cholera,3
Africa,Sub-Saharan Africa,Benin,Lassa Fever,2
Africa,Sub-Saharan Africa,Benin,Meningococcal Meningitis,4
Africa,Sub-Saharan Africa,Benin,Viral Meningitis,3
Africa,Sub-Saharan Africa,Benin,Yellow Fever,1
Americas,Northern America,Bermuda,Influenza,1
Americas,Northern America,Bermuda,COVID-19,3
Asia,Southern Asia,Bhutan,Influenza,2
Asia,Southern Asia,Bhutan,COVID-19,3
Asia,Southern Asia,Bhutan,Cholera,1
Americas,Latin America and the Caribbean,Bolivia,Influenza,2
Americas,Latin America and the Caribbean,Bolivia,COVID-19,3
Americas,Latin America and the Caribbean,Bolivia,Cholera,2
Americas,Latin America and the Caribbean,Bolivia,Sylvatic Yellow Fever,1
Americas,Latin America and the Caribbean,Bolivia,Yellow Fever,2
Americas,Latin America and the Caribbean,Bolivia,Zika Virus,1
Americas,Latin America and the Caribbean,"Bonaire, Sint Eustatius, and Saba",Influenza,1
