decade,tried,battles
1300,48,0
1310,116,0
1320,71,0
1330,53,0
1340,9,0
1350,15,0
1360,12,0
1370,30,0
1380,31,0
1390,38,0
1400,202,0
1410,181,0
1420,561,0
1430,249,0
1440,255,0
1450,234,0
1460,120,0
1470,145,0
1480,406,0
1490,207,0
1500,85,0
1510,99,0
1520,120,20
1530,145,2
1540,234,3
1550,402,3
1560,716,24
1570,1188,33
1580,2257,31
1590,3705,22
1600,2726,12
1610,6035,5
1620,4741,40
1630,2723,62
1640,2909,145
1650,2636,16
1660,2446,0
1670,1956,0
1680,1522,0
1690,1094,0
1700,612,0
1710,479,0
1720,485,0
1730,300,0
1740,338,0
1750,211,0
1760,57,0
1770,26,0
1780,3,0
1790,4,0
1800,0,0
1810,0,0
1820,1,0
1830,1,0
1840,0,0
1850,1,0
