loc1,loc2,score
SYC,SYC,1000000000
ATG,SYC,35024
GRD,SYC,31729
KIR,SYC,8861
FSM,SYC,2570
LCA,SYC,54153
IMN,SYC,13119
ABW,SYC,4386
CYM,SYC,47207
JEY,SYC,15984
CPV,SYC,6299
SLB,SYC,112934
CUW,SYC,3952
BRB,SYC,31809
BHS,SYC,10818
CAF,SYC,8754
BLZ,SYC,8475
ISL,SYC,4858
GNQ,SYC,18991
DJI,SYC,21376
MLT,SYC,26591
PYF,SYC,9553
GUF,SYC,32690
GUM,SYC,10347
NCL,SYC,39097
MNE,SYC,3311
GNB,SYC,6066
FJI,SYC,22368
MDV,SYC,239433
BTN,SYC,11590
COM,SYC,208281
GUY,SYC,16493
BWA,SYC,26959
MTQ,SYC,81570
LBR,SYC,13534
GLP,SYC,65413
BDI,SYC,4589
BRN,SYC,13240
GAB,SYC,6061
LUX,SYC,9893
PNG,SYC,3935
CYP,SYC,17839
COG,SYC,8372
MUS,SYC,2599176
LSO,SYC,7052
RWA,SYC,6814
MKD,SYC,3835
MRT,SYC,1451
MAC,SYC,13376
GMB,SYC,20211
NER,SYC,2758
EST,SYC,1691
JAM,SYC,17014
REU,SYC,176202
LVA,SYC,2286
MWI,SYC,8835
BIH,SYC,579
GIN,SYC,18304
PRY,SYC,532
MDG,SYC,359792
PRI,SYC,804
BFA,SYC,2399
MNG,SYC,2142
CRI,SYC,942
MOZ,SYC,4601
HRV,SYC,2692
AGO,SYC,3412
MDA,SYC,625
BEN,SYC,22329
LAO,SYC,343
LTU,SYC,806
ARM,SYC,612
ALB,SYC,1023
HTI,SYC,77198
MLI,SYC,3215
SRB,SYC,3673
PAN,SYC,1226
GEO,SYC,1041
NOR,SYC,3783
NIC,SYC,1660
CMR,SYC,16935
IRL,SYC,9614
LBN,SYC,6415
BGR,SYC,2956
COD,SYC,5946
GRC,SYC,5824
KGZ,SYC,670
HUN,SYC,3705
DNK,SYC,2555
FIN,SYC,2552
HND,SYC,545
PRT,SYC,5030
AUT,SYC,7151
BHR,SYC,113487
DOM,SYC,6107
ETH,SYC,4704
NZL,SYC,13698
LKA,SYC,115640
AZE,SYC,1926
KEN,SYC,90131
GHA,SYC,20632
JOR,SYC,2555
CHE,SYC,26126
CIV,SYC,7617
ROU,SYC,1466
BOL,SYC,310
BEL,SYC,10064
LBY,SYC,1652
KHM,SYC,666
BLR,SYC,1572
OMN,SYC,36792
CZE,SYC,3655
GTM,SYC,292
ECU,SYC,508
NPL,SYC,57740
HKG,SYC,3459
QAT,SYC,59996
NLD,SYC,4831
KWT,SYC,20653
KAZ,SYC,1283
MYS,SYC,9718
CHL,SYC,1172
POL,SYC,1190
ARG,SYC,439
AUS,SYC,25956
