genus,commonName
Theridion,tangle-web spiders
Araneus,orb-weavers
Pardosa,wolf spiders
Clubiona,sac spiders
Zelotes,ground spiders
Tetragnatha,long-jawed orb-weavers
Pholcus,genus of the daddy longlegs
Oxyopes,lynx spiders
Xysticus,ground crab spiders
Dysdera,woodlouse hunting spiders
Draconarius,Asian funnel weavers
Mallinella,ant spiders
Coelotes,funnel weavers
Heliophanus,jumping spiders
Hogna,wolf spiders
Olios,huntsman spiders
Cicurina,cave mesh-weavers
Habronattus,paradise spiders
Costarina,goblin spiders
Walckenaeria,dwarf spiders
Modisimus,cellar spiders
Mangora,orb-weavers
Alpaida,South American orb-weavers
Chrysometa,long-jawed orb-weavers
Dubiaranea,dwarf spiders
Mesabolivar,cellar spiders
Micrathena,spiny orb-weavers 
Scytodes,spitting spiders
Tmarus,crab spiders
Orchestina,goblin spiders
Opopaea,goblin spiders
Maratus,peacock spiders
Arbanitis,Australian armored trapdoor spiders
Lampona,white-tailed spiders
Habronestes,ant-eating spiders
Tamopsis,tree trunk spiders
Storena,ant spiders
Troglohyphantes,sheet-weavers
Zodarion,ant-eating spiders
Harpactea,woodlouse hunting spiders
Gnaphosa,ground spiders
Alopecosa,wolf spiders
Tegenaria,fast-running funnel weavers
Dolomedes,"fishing spiders, or raft spiders"
Linyphia,dwarf spiders
Floronia,"sheet weavers, or money spiders"
Enoplognatha,Comb-footed spiders
Dendryphantes,jumping spiders
Singa,striped orb-weavers
Zygiella,orb-weavers
Larinioides,orb-weavers
Heteropoda,huntsman spiders
Argiope,wasp spiders
Gasteracantha,spiny orb-weavers 
Zosis,cribellate (or hackled) orb weavers
Nephila,"golden silk orb-weavers, giant wood spiders, or banana spiders"
Desis,intertidal (marine) spiders
Trichonephila,orb-weavers
Steatoda,"cupboard spiders, or false widows"
Avicularia,arboreal tarantulas
Misumena,flower carb spiders
Thanatus,false crab spiders
Nesticus,scaffold web spiders
Philaeus,jumping spiders
Holocnemus,cellar spiders
Cyrtophora,tent-web spiders
Nephilingis,hermit spiders
Hypositticus,jumping spiders
Aelurillus,jumping spiders
Micrommata,huntsman spiders
Philodromus,philodromid crab spiders
Phylloneta,comb-footed spiders
Marpissa,jumping spiders
Sitticus,jumping spiders
