floor_number,apartment_count,sun_spring_10am_klx
-4,4,0.01577214236803272
-3,7,0.09348041549290237
-2,18,0.8006694495063809
-1,430,0.43399814356037164
0,7381,1.1557714732303477
1,9672,1.32930372696093
2,9299,1.6811467230828063
3,7044,1.8414951578200571
4,4246,1.7338107228738053
5,2625,1.79520524019644
6,1435,1.8265906343093299
7,798,1.9102767331482273
8,493,2.0934937479101663
9,308,2.164551873449663
10,176,2.1785129945769075
11,126,2.120907882476239
12,95,2.305529270273205
13,65,2.3304251157913556
14,41,2.3313715024337087
15,41,2.5386388937882964
16,18,2.3492322630806024
17,6,1.4506160169451392
18,4,1.591016405648185
