iso,year,no_dircrim,no_indcrim,gmc,nophys,nopsych,nodiv,nb3g,adp_general,adp_const,adp_employment,adp_edu,adp_health,adp_housing,trip_score
MEX,1999,,,,,,,,,,,,,,
MEX,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
MEX,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
MEX,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
MEX,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
MEX,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
MEX,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,1999,,,,,,,,,,,,,,
SUR,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
SUR,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
SUR,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SUR,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
SWE,1999,,,,,,,,,,,,,,
SWE,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2002,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2003,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
SWE,2009,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
SWE,2010,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
SWE,2011,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
SWE,2012,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
