name,vietName,type,region,springMonths,autumnMonths,winterMonths,s_a_1995,s_a_1996,s_a_1997,s_a_1998,s_a_1999,s_a_2000,s_a_2001,s_a_2002,s_a_2003,s_a_2004,s_a_2005,s_a_2006,s_a_2007,s_a_2008,s_a_2009,s_a_2010,s_a_2011,s_a_2012,s_a_2013,s_a_2014,s_a_2015,s_a_2016,s_a_2017,s_a_2018,s_a_2019,s_a_2020,s_a_2021,s_a_2022,s_a_2023,s_p_1995,s_p_1996,s_p_1997,s_p_1998,s_p_1999,s_p_2000,s_p_2001,s_p_2002,s_p_2003,s_p_2004,s_p_2005,s_p_2006,s_p_2007,s_p_2008,s_p_2009,s_p_2010,s_p_2011,s_p_2012,s_p_2013,s_p_2014,s_p_2015,s_p_2016,s_p_2017,s_p_2018,s_p_2019,s_p_2020,s_p_2021,s_p_2022,s_p_2023,s_y_1995,s_y_1996,s_y_1997,s_y_1998,s_y_1999,s_y_2000,s_y_2001,s_y_2002,s_y_2003,s_y_2004,s_y_2005,s_y_2006,s_y_2007,s_y_2008,s_y_2009,s_y_2010,s_y_2011,s_y_2012,s_y_2013,s_y_2014,s_y_2015,s_y_2016,s_y_2017,s_y_2018,s_y_2019,s_y_2020,s_y_2021,s_y_2022,s_y_2023,a_a_1995,a_a_1996,a_a_1997,a_a_1998,a_a_1999,a_a_2000,a_a_2001,a_a_2002,a_a_2003,a_a_2004,a_a_2005,a_a_2006,a_a_2007,a_a_2008,a_a_2009,a_a_2010,a_a_2011,a_a_2012,a_a_2013,a_a_2014,a_a_2015,a_a_2016,a_a_2017,a_a_2018,a_a_2019,a_a_2020,a_a_2021,a_a_2022,a_a_2023,a_p_1995,a_p_1996,a_p_1997,a_p_1998,a_p_1999,a_p_2000,a_p_2001,a_p_2002,a_p_2003,a_p_2004,a_p_2005,a_p_2006,a_p_2007,a_p_2008,a_p_2009,a_p_2010,a_p_2011,a_p_2012,a_p_2013,a_p_2014,a_p_2015,a_p_2016,a_p_2017,a_p_2018,a_p_2019,a_p_2020,a_p_2021,a_p_2022,a_p_2023,a_y_1995,a_y_1996,a_y_1997,a_y_1998,a_y_1999,a_y_2000,a_y_2001,a_y_2002,a_y_2003,a_y_2004,a_y_2005,a_y_2006,a_y_2007,a_y_2008,a_y_2009,a_y_2010,a_y_2011,a_y_2012,a_y_2013,a_y_2014,a_y_2015,a_y_2016,a_y_2017,a_y_2018,a_y_2019,a_y_2020,a_y_2021,a_y_2022,a_y_2023,w_a_1995,w_a_1996,w_a_1997,w_a_1998,w_a_1999,w_a_2000,w_a_2001,w_a_2002,w_a_2003,w_a_2004,w_a_2005,w_a_2006,w_a_2007,w_a_2008,w_a_2009,w_a_2010,w_a_2011,w_a_2012,w_a_2013,w_a_2014,w_a_2015,w_a_2016,w_a_2017,w_a_2018,w_a_2019,w_a_2020,w_a_2021,w_a_2022,w_a_2023,w_p_1995,w_p_1996,w_p_1997,w_p_1998,w_p_1999,w_p_2000,w_p_2001,w_p_2002,w_p_2003,w_p_2004,w_p_2005,w_p_2006,w_p_2007,w_p_2008,w_p_2009,w_p_2010,w_p_2011,w_p_2012,w_p_2013,w_p_2014,w_p_2015,w_p_2016,w_p_2017,w_p_2018,w_p_2019,w_p_2020,w_p_2021,w_p_2022,w_p_2023,w_y_1995,w_y_1996,w_y_1997,w_y_1998,w_y_1999,w_y_2000,w_y_2001,w_y_2002,w_y_2003,w_y_2004,w_y_2005,w_y_2006,w_y_2007,w_y_2008,w_y_2009,w_y_2010,w_y_2011,w_y_2012,w_y_2013,w_y_2014,w_y_2015,w_y_2016,w_y_2017,w_y_2018,w_y_2019,w_y_2020,w_y_2021,w_y_2022,w_y_2023
Northern Midlands and Mountain areas,Trung du và Miền núi phía Bắc,region,Northern Midlands and Mountain areas,"6,7",,"11,12",193.0,190.7,201.7,202.9,196.3,213.8,223.0,227.7,234.0,233.3,236.1,237.7,236.2,231.2,240.1,236.5,240.6,245.6,248.0,250.1,251.5,253.0,250.3,248.2,247.4,246.7,245.0,244.6,243.0,578.4,667.4,734.4,726.2,765.9,946.3,1017.0,1075.4,1153.6,1179.8,1203.3,1192.5,1110.8,1195.2,1267.9,1278.2,1365.8,1382.7,1403.2,1402.7,1422.8,1454.3,1439.7,1457.6,1431.0,1414.1,1439.0,1427.6,1413.0,30.0,35.0,36.4,35.8,39.0,44.3,45.6,47.2,49.3,50.6,51.0,50.2,47.0,51.7,52.8,54.0,56.8,56.3,56.6,56.1,56.6,57.5,57.5,58.7,57.8,57.3,58.7,58.4,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.7,416.9,415.4,417.3,424.7,424.9,425.8,425.6,422.4,426.6,425.1,423.3,435.7,427.6,430.3,429.9,430.2,432.4,441.2,439.1,432.8,429.6,429.5,424.2,421.6,418.5,417.2,415.1,410.2,1094.7,1101.1,1177.2,1220.1,1357.6,1346.3,1487.7,1557.2,1595.6,1643.7,1661.3,1711.6,1781.1,1708.7,1785.7,1809.6,1833.3,1888.4,1862.4,1938.4,1914.0,1951.2,1896.7,1925.4,1947.5,1977.1,1987.5,2008.2,2001.4,26.1,26.4,28.3,29.2,32.0,31.7,34.9,36.6,37.8,38.5,39.1,40.4,40.9,40.9,41.5,42.1,42.6,43.7,42.2,44.1,44.2,45.4,44.2,45.4,46.2,47.2,47.6,48.4,48.8
Red River Delta,Đồng bằng sông Hồng,region,Red River Delta,"5,6",,"10,11",605.4,602.2,611.1,610.9,608.5,618.0,617.8,613.4,609.0,597.2,584.2,576.9,571.5,566.3,571.3,568.7,566.1,565.2,561.3,557.9,553.0,546.1,536.2,524.4,515.0,499.0,491.4,484.2,476.8,2692.4,3220.9,3275.1,3201.6,3310.2,3584.5,3540.8,3640.9,3708.1,3727.0,3671.3,3654.1,3275.2,3609.7,3621.0,3592.6,3789.0,3739.2,3687.5,3651.5,3636.0,3583.2,3533.8,3507.0,3365.4,3266.2,3274.1,3192.8,3172.6,44.5,53.5,53.6,52.4,54.4,58.0,57.3,59.4,60.9,62.4,62.8,63.3,57.3,63.7,63.4,63.2,66.9,66.2,65.7,65.5,65.8,65.6,65.9,66.9,65.3,65.5,66.6,65.9,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.7,614.4,633.2,639.4,641.4,643.0,633.5,632.4,623.7,612.8,601.9,594.3,586.6,586.9,584.2,581.4,578.5,573.5,568.6,564.8,557.9,548.3,535.2,516.4,497.3,484.4,478.9,469.3,460.2,2511.4,2239.3,2508.8,2930.2,3233.2,3178.1,3064.5,3310.8,2993.4,3199.1,2727.1,3071.1,3225.5,3180.5,3175.8,3212.8,3176.9,3142.1,2967.9,3108.3,3093.5,2961.8,2549.5,2789.1,2766.5,2765.2,2741.8,2692.8,2637.8,39.7,36.4,39.6,45.8,50.4,49.4,48.4,52.4,48.0,52.2,45.3,51.7,55.0,55.0,54.4,55.3,54.9,54.8,52.2,55.0,55.4,54.0,47.6,54.0,55.6,57.1,57.3,57.4,57.3
Northern Central and Central Coastal areas,Bắc Trung Bộ và Duyên hải miền Trung,region,Northern Central and Central Coastal areas,"4,5,6","8,9","10,11,12",498.5,501.5,512.0,513.8,512.0,529.5,537.7,536.5,538.2,535.1,515.8,539.1,534.7,544.2,551.1,561.6,567.4,572.0,575.1,586.2,585.7,573.9,587.7,589.1,586.6,563.1,580.7,583.4,579.6,1809.7,1966.6,2201.2,2114.1,2296.4,2495.8,2570.8,2795.7,2853.5,2904.3,2825.3,3034.1,2861.6,2951.2,3156.5,3243.6,3332.3,3443.2,3425.3,3675.6,3598.9,3530.6,3590.1,3780.7,3743.0,3582.9,3857.6,3584.9,3814.0,36.3,39.2,43.0,41.1,44.9,47.1,47.8,52.1,53.0,54.3,54.8,56.3,53.5,54.2,57.3,57.8,58.7,60.2,59.6,62.7,61.4,61.5,61.1,64.2,63.8,63.6,66.4,61.4,65.8,271.5,284.9,290.1,280.3,301.4,302.8,300.2,291.4,306.0,308.6,281.9,316.3,310.7,328.5,345.2,333.6,338.6,347.6,343.2,345.6,328.6,337.9,360.1,353.3,347.2,329.1,353.6,350.0,349.1,981.5,1029.6,1147.4,1003.0,1256.5,1269.2,1280.3,1211.1,1372.0,1475.0,1289.4,1503.5,1465.0,1713.8,1710.7,1549.8,1781.3,1812.4,1737.9,1840.6,1782.5,1859.1,1951.4,1914.2,1785.2,1793.8,1994.0,1982.5,2000.9,36.2,36.1,39.6,35.8,41.7,41.9,42.6,41.6,44.8,47.8,45.7,47.5,47.2,52.2,49.6,46.5,52.6,52.1,50.6,53.3,54.2,55.0,54.2,54.2,51.4,54.5,56.4,56.6,57.3,430.2,432.0,426.8,416.3,422.4,412.3,400.5,389.6,376.2,365.0,346.8,351.5,343.3,337.6,324.7,318.9,322.8,316.8,312.1,312.0,306.2,303.5,305.6,292.0,274.4,265.5,264.4,252.1,251.9,1099.0,961.4,1119.3,1169.4,1224.8,1207.8,1293.4,1328.8,1346.6,1393.7,1227.8,1413.5,1437.7,1449.9,1376.0,1358.6,1421.5,1471.6,1436.5,1517.8,1473.7,1452.5,1456.4,1364.9,1326.9,1318.2,1348.7,1319.0,1332.6,25.5,22.3,26.2,28.1,29.0,29.3,32.3,34.1,35.8,38.2,35.4,40.2,41.9,41.9,42.4,42.6,44.0,46.5,46.0,48.6,48.1,47.9,47.7,46.7,48.4,49.6,51.0,52.3,52.9
Central Highlands,Tây Nguyên,region,Central Highlands,"3,4,5,6","8,9","10,11,12",30.1,30.9,35.1,36.6,40.8,44.8,50.4,55.1,58.2,61.1,54.5,65.0,65.0,69.1,72.7,75.2,77.9,80.7,80.1,85.6,84.8,79.1,86.5,87.5,88.1,89.5,92.0,93.9,95.1,112.3,125.5,161.5,128.6,180.8,214.5,250.2,235.8,274.8,303.1,223.3,359.9,349.6,360.2,412.9,427.8,406.3,468.5,449.9,523.8,481.9,424.4,529.9,567.9,578.3,583.2,612.6,629.4,633.9,37.3,40.6,46.0,35.1,44.3,47.9,49.6,42.8,47.2,49.6,41.0,55.4,53.8,52.1,56.8,56.9,52.2,58.1,56.2,61.2,56.8,53.7,61.3,64.9,65.6,65.2,66.6,67.0,66.7,0.0,0.0,8.6,5.2,5.6,5.9,5.2,5.4,5.4,5.8,6.0,5.6,5.9,6.0,6.3,5.9,6.2,6.3,6.2,6.2,6.4,5.6,6.1,5.9,5.9,5.9,5.8,5.4,5.3,0.0,0.0,19.0,13.4,11.4,17.0,14.4,13.2,18.6,21.4,24.5,21.9,25.5,26.0,26.8,24.7,27.9,30.7,30.2,30.7,32.0,29.1,32.2,33.1,29.0,32.0,32.2,29.7,28.6,0.0,0.0,22.1,25.8,20.4,28.8,27.7,24.4,34.4,36.9,40.8,39.1,43.2,43.3,42.5,41.9,45.0,48.7,48.7,49.5,50.0,52.0,52.8,56.1,49.2,54.2,55.7,54.7,53.8,143.1,125.2,126.3,122.9,119.6,126.1,125.2,126.1,130.3,131.0,131.7,135.9,134.3,136.2,136.6,136.7,140.1,142.7,146.1,146.0,146.3,148.6,150.8,152.2,149.7,151.5,152.4,152.6,153.7,317.2,301.8,305.1,294.6,320.2,355.3,381.6,357.6,454.7,456.9,469.5,498.6,491.2,549.0,559.4,589.6,633.5,639.6,671.1,690.5,695.9,720.5,753.5,778.8,787.4,798.5,821.5,846.3,868.8,22.2,24.1,24.2,24.0,26.8,28.2,30.5,28.4,34.9,34.9,35.6,36.7,36.6,40.3,41.0,43.1,45.2,44.8,45.9,47.3,47.6,48.5,50.0,51.2,52.6,52.7,53.9,55.5,56.5
South East,Đông Nam Bộ,region,South East,"3,4,5,6","8,9","10,11,12",58.6,63.6,68.8,70.1,82.8,86.5,90.4,86.6,84.6,84.7,72.8,76.5,74.5,75.8,76.9,79.3,77.3,80.6,76.7,74.0,75.5,74.9,77.3,79.8,82.3,79.2,78.2,79.3,79.4,195.3,244.0,248.3,241.0,299.1,326.4,339.1,344.1,343.5,357.0,331.1,349.8,354.5,377.4,381.4,398.6,401.5,424.1,409.2,405.2,424.4,422.8,439.1,456.1,477.9,458.1,458.3,472.2,478.9,33.3,38.4,36.1,34.4,36.1,37.7,37.5,39.7,40.6,42.1,45.5,45.7,47.6,49.8,49.6,50.3,51.9,52.6,53.4,54.8,56.2,56.4,56.8,57.2,58.1,57.8,58.6,59.6,60.3,73.3,79.8,76.3,79.1,94.5,102.5,93.9,96.0,98.0,94.0,86.1,85.6,87.7,94.4,96.3,91.3,93.7,92.7,91.0,89.5,90.0,87.9,88.6,89.1,87.4,86.2,85.8,84.1,83.9,222.9,250.7,221.3,230.3,289.7,334.3,295.2,314.5,345.8,361.8,325.8,329.2,359.2,402.8,418.6,391.0,435.2,437.9,432.5,434.8,444.7,439.8,450.9,465.4,454.7,456.8,462.5,457.8,462.3,30.4,31.4,29.0,29.1,30.7,32.6,31.4,32.8,35.3,38.5,37.8,38.5,41.0,42.7,43.5,42.8,46.4,47.2,47.5,48.6,49.4,50.0,50.9,52.2,52.0,53.0,53.9,54.4,55.1,219.9,219.0,213.7,207.3,218.4,210.4,197.1,183.7,178.7,174.4,160.0,143.2,138.2,137.5,131.5,124.5,122.1,121.1,112.6,109.7,107.8,107.6,106.0,101.3,97.7,96.6,94.9,92.3,92.5,517.2,469.6,555.3,554.4,553.3,551.3,575.9,552.5,580.6,558.9,554.7,480.5,526.9,535.9,534.3,533.1,524.5,536.6,504.4,509.1,507.0,504.8,506.7,497.2,490.5,487.0,491.0,479.1,491.3,23.5,21.4,26.0,26.7,25.3,26.2,29.2,30.1,32.5,32.0,34.7,33.6,38.1,39.0,40.6,42.8,43.0,44.3,44.8,46.4,47.0,46.9,47.8,49.1,50.2,50.4,51.7,51.9,53.1
Mekong River Delta,Đồng bằng sông Cửu Long,region,Mekong River Delta,"2,3,4","7,8,9,10,11,12","12,1,2",1035.7,1152.2,1254.0,1349.0,1448.5,1520.6,1537.6,1513.7,1498.9,1467.1,1478.7,1500.3,1506.5,1526.5,1548.8,1564.6,1567.5,1580.2,1564.4,1562.7,1617.5,1601.9,1579.1,1573.8,1604.7,1546.5,1519.6,1506.9,1478.7,5348.5,5985.1,6689.8,7148.0,7250.6,8003.7,7756.5,8627.7,8489.2,8606.8,9077.3,8997.8,9072.4,9833.2,9856.1,10276.0,10483.4,10834.2,10694.6,11191.7,11527.7,10231.3,9883.2,10833.7,10876.0,10569.9,10987.2,10669.2,10677.0,51.6,51.9,53.3,53.0,50.1,52.6,50.4,57.0,56.6,58.7,61.4,60.0,60.2,64.4,63.6,65.7,66.9,68.6,68.4,71.6,71.3,63.9,62.6,68.8,67.8,68.3,72.3,70.8,72.2,1397.6,1619.5,1510.2,1776.0,1939.7,1881.6,1811.5,1900.9,1910.6,1957.8,1975.3,1909.9,1799.2,1939.8,1910.6,2005.2,2151.0,2212.5,2370.4,2292.8,2444.1,2441.5,2421.9,2336.5,2293.3,2247.9,2228.3,2124.5,2182.1,5296.4,5598.2,5250.1,6275.9,7200.7,7004.5,6738.5,7649.9,7664.4,8572.7,8796.5,7839.3,8291.1,9253.1,9056.1,9720.6,11158.5,11677.0,12422.8,12173.1,13082.1,12904.1,13026.7,12763.7,12654.2,12497.5,12674.8,11985.9,12565.4,37.9,34.6,34.8,35.3,37.1,37.2,37.2,40.2,40.1,43.8,44.5,41.0,46.1,47.7,47.4,48.5,51.9,52.8,52.4,53.1,53.5,52.9,53.8,54.6,55.2,55.6,56.9,56.4,57.6,757.3,671.0,716.4,635.6,597.0,543.6,442.9,420.2,378.0,390.8,372.3,363.7,377.4,392.6,410.6,376.1,375.4,391.3,405.5,394.0,239.9,197.7,184.3,197.2,171.3,169.3,150.7,171.2,177.9,2186.8,2235.5,1910.1,1894.7,1843.4,1694.5,1502.5,1432.0,1374.4,1387.7,1424.7,1392.1,1315.4,1583.2,1611.0,1599.0,1627.6,1809.6,1903.7,1880.8,973.9,639.6,699.1,909.6,779.8,760.2,665.3,881.2,914.1,28.9,33.3,26.7,29.8,30.9,31.2,33.9,34.1,36.4,35.5,38.3,38.3,34.9,40.3,39.2,42.5,43.4,46.2,46.9,47.7,40.6,32.4,37.9,46.1,45.5,44.9,44.1,51.5,51.4
Ha Giang,Hà Giang,city/province,Northern Midlands and Mountain areas,"6,7",,"11,12",5.8,6.0,6.4,6.6,6.7,7.5,8.0,8.8,9.1,9.4,9.6,9.6,9.7,9.5,9.9,9.3,10.0,9.9,9.7,9.5,9.6,9.3,9.2,9.2,9.3,9.2,9.2,9.3,9.4,16.0,17.6,21.1,22.4,25.6,31.5,35.2,38.7,39.8,41.1,43.1,42.5,43.5,44.3,48.4,48.7,54.2,52.4,54.2,53.1,53.5,52.6,52.6,52.8,53.3,53.2,53.7,54.0,54.4,27.6,29.3,33.0,33.9,38.3,42.0,44.0,44.0,43.7,43.7,44.9,44.3,44.8,46.6,48.9,52.4,54.2,52.9,55.9,55.9,55.7,56.6,57.2,57.4,57.3,57.8,58.2,58.2,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,23.9,23.1,23.1,23.0,23.7,24.0,24.3,25.2,25.6,25.7,26.0,26.2,27.1,27.1,27.2,27.3,27.5,27.7,27.9,27.2,28.2,28.3,28.3,28.2,28.3,28.4,28.4,28.2,65.9,71.4,74.5,77.5,84.2,89.9,95.6,98.4,106.2,108.9,111.7,115.7,118.2,123.0,136.9,145.5,147.6,150.5,152.7,154.8,150.0,157.9,158.8,160.0,160.2,162.3,163.8,162.5,163.4,28.0,29.9,32.3,33.5,36.6,37.9,39.8,40.5,42.1,42.5,43.5,44.5,45.1,45.1,50.5,53.5,54.1,54.7,55.1,55.5,55.1,56.0,56.1,56.5,56.8,57.3,57.7,57.2,57.9
Cao Bang,Cao Bằng,city/province,Northern Midlands and Mountain areas,"6,7",,"11,12",3.3,2.6,2.8,2.8,3.2,3.4,3.4,3.1,3.4,3.5,3.6,3.5,3.7,3.7,3.8,3.0,3.3,3.2,3.4,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,11.4,11.0,12.2,12.1,14.7,16.4,15.6,15.1,16.4,16.1,17.3,16.9,17.8,18.8,19.2,15.2,16.9,16.3,17.7,16.8,17.0,18.4,18.2,18.3,18.3,18.7,18.8,19.1,17.3,34.5,42.3,43.6,43.2,46.5,48.2,45.9,48.7,48.2,46.0,48.1,48.3,48.1,50.8,50.5,50.7,51.2,50.9,52.1,50.9,51.5,51.1,50.6,50.8,50.8,51.9,51.7,51.4,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,25.1,25.8,25.6,26.3,25.3,25.8,25.9,26.1,26.1,26.5,27.1,26.9,27.5,26.6,27.5,26.8,27.5,27.0,27.1,27.2,25.3,26.8,26.7,26.6,25.4,25.6,26.6,26.1,81.0,73.1,79.6,79.2,83.7,71.6,84.2,83.5,88.2,87.9,93.0,100.4,102.0,105.8,99.7,110.6,100.3,106.8,107.9,110.1,112.5,106.4,114.5,114.2,117.6,112.6,114.9,123.3,120.9,26.9,29.0,30.9,30.9,31.8,28.3,32.6,32.2,33.8,33.7,35.1,37.0,37.9,37.9,37.5,40.2,37.4,38.8,40.0,40.6,41.4,42.1,42.7,42.8,44.2,44.3,44.9,46.4,46.3
Bac Kan,Bắc Kạn,city/province,Northern Midlands and Mountain areas,"6,7",,"11,12",3.6,3.5,4.0,4.3,4.8,5.3,5.9,6.4,6.5,6.7,7.0,7.0,7.1,7.1,7.5,7.4,7.6,7.7,7.9,8.7,9.1,9.3,9.0,8.9,8.8,8.7,8.6,8.6,8.5,10.3,11.6,12.8,15.5,18.3,21.8,24.4,26.5,28.9,30.0,31.1,28.5,32.3,32.8,35.9,35.6,40.5,41.3,42.6,44.4,50.0,51.2,49.4,49.7,48.5,49.4,49.3,48.6,45.2,28.6,33.1,32.0,36.0,37.9,41.1,41.4,41.4,44.5,44.8,44.4,40.7,45.5,46.2,47.9,48.1,53.3,53.6,53.9,51.0,54.9,55.1,54.9,55.8,55.1,56.8,57.2,56.7,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.3,14.2,13.8,13.7,13.5,13.7,13.8,13.4,13.8,13.9,13.8,14.2,14.1,14.3,14.4,14.6,14.6,15.1,15.3,15.5,15.0,15.0,14.6,14.5,14.2,14.3,14.1,13.9,40.5,42.3,47.3,45.4,45.8,44.5,51.1,52.1,52.3,52.1,56.5,59.6,60.6,61.0,60.3,58.1,57.4,63.1,64.7,67.7,67.4,66.9,62.9,65.0,68.5,68.7,68.2,68.6,67.9,27.9,29.6,33.3,32.9,33.4,33.0,37.3,37.8,39.0,37.8,40.6,43.2,42.7,42.7,42.2,40.3,39.3,43.2,42.8,44.2,43.5,44.6,41.9,44.5,47.2,48.4,47.7,48.6,48.9
Tuyen Quang,Tuyên Quang,city/province,Northern Midlands and Mountain areas,"6,7",,"11,12",13.9,14.4,15.6,16.5,16.6,17.9,19.1,19.2,20.2,19.7,19.5,19.8,19.5,19.5,19.8,19.7,19.7,20.1,20.3,20.1,20.2,20.0,19.8,19.6,19.2,19.3,19.1,19.0,18.7,43.7,53.6,62.0,65.9,70.3,86.2,97.8,92.9,109.9,108.9,110.1,108.0,105.4,109.9,115.3,114.7,118.1,119.4,121.0,119.4,120.6,119.8,118.4,118.5,115.5,115.8,115.5,114.6,113.1,31.4,37.2,39.7,39.9,42.3,48.2,51.2,48.4,54.4,55.3,56.5,54.5,54.1,56.4,58.2,58.2,59.9,59.4,59.6,59.4,59.7,59.9,59.8,60.5,60.2,60.0,60.5,60.2,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,26.2,26.1,26.8,26.5,26.6,27.0,26.9,26.8,26.7,26.1,26.1,26.0,25.7,25.8,25.7,25.8,25.7,25.6,25.5,25.4,25.1,25.3,25.2,25.1,25.2,25.1,24.8,24.3,90.0,95.4,93.4,103.5,106.8,98.3,131.9,127.6,134.4,138.4,138.8,143.2,147.0,146.7,146.0,147.1,147.8,147.3,145.6,146.0,145.7,144.5,144.5,143.9,144.4,145.6,146.1,145.7,143.9,34.1,36.4,35.8,38.6,40.3,37.0,48.9,47.4,50.1,51.8,53.2,54.9,56.5,56.5,56.6,57.2,57.3,57.3,56.9,57.3,57.4,57.6,57.1,57.1,57.5,57.8,58.2,58.7,59.1
